2026/09/17 19:04:13.184, 44, 3.52 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:04:15.253, 44, 3.54 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:04:17.320, 44, 3.50 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:04:19.390, 44, 3.60 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:04:21.462, 44, 3.53 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:04:23.531, 44, 3.72 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:04:25.599, 44, 3.62 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:04:27.669, 44, 3.63 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:04:29.736, 44, 3.56 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:04:31.809, 44, 3.61 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:04:33.877, 44, 3.63 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:04:35.951, 44, 3.57 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:04:38.018, 44, 3.95 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:04:40.087, 45, 3.80 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:04:42.154, 45, 3.64 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:04:44.224, 44, 3.63 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:04:46.290, 44, 3.63 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:04:48.360, 45, 3.68 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:04:50.428, 45, 3.64 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:04:52.502, 45, 3.59 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:04:54.571, 45, 3.59 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:04:56.641, 45, 3.67 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:04:58.708, 45, 3.63 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:05:00.778, 45, 3.53 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:05:02.855, 45, 3.60 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:05:04.941, 45, 3.56 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:05:07.034, 45, 3.82 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:05:09.104, 45, 3.56 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:05:11.171, 45, 3.53 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:05:13.241, 45, 3.53 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:05:15.307, 45, 3.62 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:05:17.376, 45, 3.60 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:05:19.444, 45, 3.56 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:05:21.518, 45, 3.94 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:05:23.585, 45, 3.53 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:05:25.657, 45, 3.57 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:05:27.724, 45, 3.58 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:05:29.794, 45, 3.50 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:05:31.861, 45, 3.47 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:05:33.931, 45, 3.57 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:05:36.002, 45, 3.74 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:05:38.071, 45, 3.70 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:05:40.139, 45, 3.61 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:05:42.208, 45, 3.51 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:05:44.274, 45, 3.56 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:05:46.343, 45, 3.58 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:05:48.411, 45, 3.61 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:05:50.483, 45, 3.49 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:05:52.550, 45, 3.79 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:05:54.619, 45, 3.78 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:05:56.687, 45, 3.44 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:05:58.756, 45, 3.66 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:06:00.823, 45, 3.63 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:06:02.902, 45, 3.54 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
